killed_by,killer_name,killer_placement,killer_position_x,killer_position_y,map,match_id,time,victim_name,victim_placement,victim_position_x,victim_position_y,,"Killer x,y coordinate",,,AKM,AWM,CROSSBOW,GRENADE,GROZA,KAR98,M16A4,M24,M249,M416,MicroUZI,Mini14,P18C,P1911,P92,R1895,S12K,S1897,S686,SCAR-L,SKS,Tommy Gun,UMP9,Vector,VSS,Win94,ERANGEL,MIRANMER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKM,pdfjkkvjk,12,376333.8,317858.9,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,886,JoeyJoeman,15,372808.3,297124.2,,376333.8317858.9,,,86,1,2,19,2,22,64,3,86,96,25,41,2,10,10,2,25,29,33,81,23,11,44,8,1,8,563,124,Down and Out,Weirdo7777,9,472014.2,313274.8,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,1018,BlackDpre,13,476645.9,316758.4,,472014.2313274.8,,,Drown,YowyyCpone,2,350164.7,563769.1,ERANGEL,2U4GBNA0YmlxiifTmjHuCGJhLNLL-lhlH9TQh47o-9IZVJIlJDQJmYN2YbSU2_Bx,924,Douyu2206576,11,378094.8,555252.7,,350164.7563769.1,,,Falling,,,,,MIRAMAR,2U4GBNA0Yml3HEnAb5HSfMbBgZnnKeFS1Nyxgm5XowlAkEtb1WUYEdfEOe_bXvR0,864,#unknown,11,308988.8,397375,,,,,Hit by Car,EnGliSh22,5,585668.6,255305.8,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,1168,DjmikeC25,11,585531.9,254955.9,,585668.6255305.8,,,Bluezone,IdiotWHJ,6,557525.2,304430.7,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,1518,FantasticBoys,2,551213.4,319105.2,,557525.2304430.7
AKM,Alexande-999,25,368799.3,420810.2,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,117,Ascholes,43,368015,421322.6,,368799.3420810.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Down and Out,UrGrandFather,14,535680.8,368517.3,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,751,Pis22,,533947.6,366812.6,,535680.8368517.3,,,Drown,RadiationPanda,2,552656.9,569174.1,ERANGEL,2U4GBNA0YmnL2IDzaNwyjj2JugGFn9rAVCHGV0UvWrWIovQDXsbi9jslN0alnHjy,886,Calvincsh666,16,557378.9,564305.5,,552656.9569174.1,,,Falling,KnightOfGwyn,1,381840.7,424408.4,ERANGEL,2U4GBNA0YmnRe95wOy7kuweIkuZo5Roa0WjNZsgboi2gzzznOC6Y8whI5V4TH5Qm,719,KnightOfGwyn,,381840.7,424408.4,,381840.7424408.4,,,Hit by Car,DevilBlood35,1,549225.7,529940.1,ERANGEL,2U4GBNA0YmnRe95wOy7kuweIkuZo5Roa0WjNZsgboi2gzzznOC6Y8whI5V4TH5Qm,1010,caonimagebi10,23,548910.6,529525.1,,549225.7529940.1,,,Bluezone,,,,,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,879,xuezhiqian717,26,0,0,,
AKM,g0f55,25,368738.8,417488.9,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,357,jinze,26,368821.4,417726.5,,368738.8417488.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Down and Out,WellSuited,35,380787.1,445621.9,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,127,Ninjakirby,42,383263.8,444835.7,,380787.1445621.9,,,Drown,,,,,ERANGEL,2U4GBNA0YmnZDcOwRYKzxWhbr5Jaxxjhp0cRvsI40iOQJdZyGBJb_mcf0ZjzNRGD,165,weizhongren,32,0,0,,,,,Falling,,,,,ERANGEL,2U4GBNA0YmlxiifTmjHuCGJhLNLL-lhlH9TQh47o-9IZVJIlJDQJmYN2YbSU2_Bx,632,chinesenanboone,15,559618.9,263769.8,,,,,Hit by Car,SayWelcome,15,345067.9,146794,ERANGEL,2U4GBNA0YmlixJ6lhgS6xB2tqdo7SEhoYyHlVu18akkAzLToAhG5PWG043VgsrJm,800,siliymaui125,42,345518.8,146570.3,,345067.9147,,,Bluezone,,,,,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,1646,zd1994925,7,0,0,,
AKM,Alexande-999,25,361569.7,419730,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,167,Newblacen,36,361278.9,419166.9,,361569.742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Down and Out,LowGe,3,367694.3,421260.3,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,357,PPPIGFEET,26,363426,420061.2,,367694.3421260.3,,,,,,,,,,,,,,,,,,,Falling,,,,,ERANGEL,2U4GBNA0YmmLlZbT02zMNt2JlWQ2eYFKRG02TGemIK1RM2eWZoZ5_MZmkLiA6Xuu,931,Wanderer23333,21,434417.8,339997.6,,,,,Hit by Car,o__Henry__o,39,602240.1,573833.3,ERANGEL,2U4GBNA0YmnZDcOwRYKzxWhbr5Jaxxjhp0cRvsI40iOQJdZyGBJb_mcf0ZjzNRGD,174,BIPBIPIMJEEP,25,602049.8,574426.4,,602240.1573833.3,,,Bluezone,,,,,ERANGEL,2U4GBNA0YmnRe95wOy7kuweIkuZo5Roa0WjNZsgboi2gzzznOC6Y8whI5V4TH5Qm,1646,Daggerbooze,8,468805,430984.8,,
AKM,Alexande-999,25,369184.6,421062.2,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,113,MoNKeY203tG,43,368332,421274.5,,369184.6421062.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Down and Out,TONGLIANGZHI,10,471184.8,359439.6,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,644,Corleone_Wu,,470963.8,354800.2,,471184.8359439.6,,,,,,,,,,,,,,,,,,,Falling,KiiQIU,25,299208.6,546106.5,ERANGEL,2U4GBNA0YmlixJ6lhgS6xB2tqdo7SEhoYyHlVu18akkAzLToAhG5PWG043VgsrJm,460,VinPong,57,299107.7,546526.6,,299208.6546106.5,,,Hit by Car,wijnmhusb,23,295475.1,324489.3,ERANGEL,2U4GBNA0YmnZDcOwRYKzxWhbr5Jaxxjhp0cRvsI40iOQJdZyGBJb_mcf0ZjzNRGD,649,wijnmhusb,23,295475.1,324489.3,,295475.1324489.3,,,Bluezone,,,,,ERANGEL,2U4GBNA0YmnRe95wOy7kuweIkuZo5Roa0WjNZsgboi2gzzznOC6Y8whI5V4TH5Qm,1788,Wildo,4,498605.2,442824.2,,
AKM,MrNhac,8,375674.3,444623.1,MIRAMAR,2U4GBNA0Yml3HEnAb5HSfMbBgZnnKeFS1Nyxgm5XowlAkEtb1WUYEdfEOe_bXvR0,527,xiao-MMM,14,365746.3,440418.2,,375674.3444623.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Down and Out,AbelZz,40,369005.9,424291.5,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,103,1000level,45,367875,424299.3,,369005.9424291.5,,,,,,,,,,,,,,,,,,,Falling,dsadwada,27,426700.8,217050.3,ERANGEL,2U4GBNA0YmlixJ6lhgS6xB2tqdo7SEhoYyHlVu18akkAzLToAhG5PWG043VgsrJm,1021,dsadwada,27,426700.8,217050.3,,426700.8217050.3,,,Hit by Car,KUAILEDEWO,4,310063.5,484046.9,ERANGEL,2U4GBNA0YmmEUK5MTLyr6AfVvoPX1txbeD-jND4VXYtMmoXuatMBzW67F6i6TzwI,1282,Raphi_,27,310414.6,484182.3,,310063.5484046.9,,,Bluezone,,,,,ERANGEL,2U4GBNA0YmnRe95wOy7kuweIkuZo5Roa0WjNZsgboi2gzzznOC6Y8whI5V4TH5Qm,1867,Spacemode,2,503327.2,426248.7,,
AKM,SylarBreak,23,438738.1,280966.6,MIRAMAR,2U4GBNA0Yml3HEnAb5HSfMbBgZnnKeFS1Nyxgm5XowlAkEtb1WUYEdfEOe_bXvR0,121,MountainMo,20,439108.5,280929.3,,438738.1280966.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Down and Out,JoyFeng-,3,366462.9,423587.8,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,199,NoParkingHere,30,364521.4,424906.5,,366462.9423587.8,,,,,,,,,,,,,,,,,,,Falling,North0023,3,367861.9,589403.3,ERANGEL,2U4GBNA0YmnL2IDzaNwyjj2JugGFn9rAVCHGV0UvWrWIovQDXsbi9jslN0alnHjy,1165,AKweilai,5,326391.2,580994.4,,367861.9589403.3,,,Hit by Car,lcesuspected,21,274855.9,265023.5,ERANGEL,2U4GBNA0YmnXxPYMxq8uh3IZ_R74uPmFVfhHlxf6M3-PzRx-7ICrxPIahHemHE6H,673,VisonLuniya,22,274602.7,265099.1,,274855.9265023.5,,,Bluezone,,,,,ERANGEL,2U4GBNA0YmnRe95wOy7kuweIkuZo5Roa0WjNZsgboi2gzzznOC6Y8whI5V4TH5Qm,1363,BJByoukiboy,40,0,0,,
AKM,#unknown,11,314694.8,357176.9,MIRAMAR,2U4GBNA0Yml3HEnAb5HSfMbBgZnnKeFS1Nyxgm5XowlAkEtb1WUYEdfEOe_bXvR0,618,#unknown,11,314933.5,357130.6,,314694.8357176.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Down and Out,ImSoPhamcy,42,383678.6,444768.1,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,144,heavychevyz7197,35,383871.9,444276.9,,383678.6444768.1,,,,,,,,,,,,,,,,,,,Falling,,,,,ERANGEL,2U4GBNA0YmnL2IDzaNwyjj2JugGFn9rAVCHGV0UvWrWIovQDXsbi9jslN0alnHjy,469,Seven00889,28,572805,37836.63,,,,,,,,,,,,,,,,,,,,,Bluezone,,,,,ERANGEL,2U4GBNA0YmnRe95wOy7kuweIkuZo5Roa0WjNZsgboi2gzzznOC6Y8whI5V4TH5Qm,1770,EggoCraigo,5,491863.5,436404.9,,
AKM,#unknown,20,433972.8,278884.8,MIRAMAR,2U4GBNA0Yml3HEnAb5HSfMbBgZnnKeFS1Nyxgm5XowlAkEtb1WUYEdfEOe_bXvR0,88,pocAKA,24,433841.8,278845.4,,433972.8278884.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Down and Out,TedHQW,2,559462.1,313402.6,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,1539,Kroy2005,6,561293.3,306626.6,,559462.1313402.6,,,,,,,,,,,,,,,,,,,Falling,,,,,ERANGEL,2U4GBNA0YmnZDcOwRYKzxWhbr5Jaxxjhp0cRvsI40iOQJdZyGBJb_mcf0ZjzNRGD,696,Johnson992,22,493019.2,432828.3,,,,,,,,,,,,,,,,,,,,,Bluezone,Naksam,8,474212,426607,ERANGEL,2U4GBNA0YmnRe95wOy7kuweIkuZo5Roa0WjNZsgboi2gzzznOC6Y8whI5V4TH5Qm,1643,G_Berg,7,463202,417882.1,,4.74E+11
AKM,#unknown,20,434207.5,278294.6,MIRAMAR,2U4GBNA0Yml3HEnAb5HSfMbBgZnnKeFS1Nyxgm5XowlAkEtb1WUYEdfEOe_bXvR0,214,ngao97,22,434767.5,276146.6,,434207.5278294.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Down and Out,NameLessisME,8,375099.8,292415.2,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,1010,Hcl211,8,375254.8,292389.7,,375099.8292415.2,,,,,,,,,,,,,,,,,,,Falling,CYH1111111,4,261619,473647.1,ERANGEL,2U4GBNA0YmmEUK5MTLyr6AfVvoPX1txbeD-jND4VXYtMmoXuatMBzW67F6i6TzwI,1406,BigDew,8,261799.8,473525.5,,2.62E+11,,,,,,,,,,,,,,,,,,,Bluezone,,,,,ERANGEL,2U4GBNA0YmnRe95wOy7kuweIkuZo5Roa0WjNZsgboi2gzzznOC6Y8whI5V4TH5Qm,1489,13947492640,13,470272.3,360425,,
